Date,Open,High,Low,Close,Adj Close,Volume
2007-11-20,14868.980469,15222.240234,14751.269531,15211.519531,15211.519531,184600
2007-11-21,15113.830078,15154.309570,14770.219727,14837.660156,14837.660156,149100
2007-11-22,14726.620117,15000.179688,14669.849609,14888.769531,14888.769531,161200
2007-11-26,14921.570313,15295.209961,14912.830078,15135.209961,15135.209961,145900
2007-11-27,14953.929688,15312.549805,14801.870117,15222.849609,15222.849609,159100
2007-11-28,15271.139648,15280.910156,15089.349609,15153.780273,15153.780273,134200
2007-11-29,15339.610352,15555.040039,15339.610352,15513.740234,15513.740234,129800
2007-11-30,15520.530273,15751.200195,15520.530273,15680.669922,15680.669922,171200
2007-12-03,15747.469727,15799.690430,15577.690430,15628.969727,15628.969727,137500
2007-12-04,15613.889648,15683.179688,15446.469727,15480.190430,15480.190430,124200
2007-12-05,15418.950195,15621.540039,15365.389648,15608.879883,15608.879883,136900
2007-12-06,15782.400391,15898.259766,15740.940430,15874.080078,15874.080078,129300
2007-12-07,15992.240234,16107.650391,15948.540039,15956.370117,15956.370117,146100
2007-12-10,16007.330078,16017.139648,15826.250000,15924.389648,15924.389648,116200
2007-12-11,16003.089844,16075.610352,15972.450195,16044.719727,16044.719727,102700
2007-12-12,15828.650391,15963.429688,15700.150391,15932.259766,15932.259766,142900
2007-12-13,15818.480469,15833.099609,15532.530273,15536.519531,15536.519531,140900
2007-12-14,15547.190430,15697.049805,15433.769531,15514.509766,15514.509766,200100
2007-12-17,15433.299805,15508.500000,15219.070313,15249.790039,15249.790039,113200
2007-12-18,15099.200195,15301.690430,15004.410156,15207.860352,15207.860352,139800
2007-12-19,15165.089844,15267.750000,15030.509766,15030.509766,15030.509766,118200
2007-12-20,15151.370117,15161.660156,15017.969727,15031.599609,15031.599609,108500
2007-12-21,15044.349609,15275.610352,14998.009766,15257.000000,15257.000000,135400
2007-12-25,15441.330078,15583.389648,15441.330078,15552.589844,15552.589844,90700
2007-12-26,15613.959961,15653.540039,15559.469727,15653.540039,15653.540039,93900
2007-12-27,15616.410156,15628.309570,15535.509766,15564.690430,15564.690430,93000
2007-12-28,15413.370117,15413.370117,15240.959961,15307.780273,15307.780273,61300
2008-01-04,15155.730469,15156.660156,14542.580078,14691.410156,14691.410156,98700
2008-01-07,14549.379883,14667.849609,14438.610352,14500.549805,14500.549805,139800
2008-01-08,14429.299805,14547.799805,14365.860352,14528.669922,14528.669922,146800
2008-01-09,14364.709961,14602.650391,14271.570313,14599.160156,14599.160156,155500
2008-01-10,14546.320313,14584.730469,14388.110352,14388.110352,14388.110352,130100
2008-01-11,14419.429688,14447.490234,14096.540039,14110.790039,14110.790039,175500
2008-01-15,14134.910156,14224.000000,13915.150391,13972.629883,13972.629883,163700
2008-01-16,13796.730469,13841.929688,13500.589844,13504.509766,13504.509766,204500
2008-01-17,13596.379883,13803.080078,13472.450195,13783.450195,13783.450195,192900
2008-01-18,13577.500000,13902.639648,13365.320313,13861.290039,13861.290039,191000
2008-01-21,13701.429688,13704.650391,13320.509766,13325.940430,13325.940430,152600
2008-01-22,13125.230469,13125.230469,12572.679688,12573.049805,12573.049805,198900
2008-01-23,12756.309570,13063.780273,12619.780273,12829.059570,12829.059570,178000
2008-01-24,12952.500000,13134.769531,12952.500000,13092.780273,13092.780273,189700
2008-01-25,13258.769531,13647.160156,13248.889648,13629.160156,13629.160156,178800
2008-01-28,13482.839844,13501.860352,13087.910156,13087.910156,13087.910156,152900
2008-01-29,13246.690430,13506.809570,13224.660156,13478.860352,13478.860352,147000
2008-01-30,13500.519531,13514.129883,13271.129883,13345.030273,13345.030273,152400
2008-01-31,13227.480469,13622.679688,13154.769531,13592.469727,13592.469727,165300
2008-02-01,13517.740234,13648.389648,13444.080078,13497.160156,13497.160156,142600
2008-02-04,13642.599609,13889.240234,13642.599609,13859.700195,13859.700195,138100
2008-02-05,13806.169922,13821.919922,13665.639648,13745.500000,13745.500000,133700
2008-02-06,13548.530273,13552.190430,13099.240234,13099.240234,13099.240234,176700
2008-02-07,13077.250000,13244.190430,12972.549805,13207.150391,13207.150391,163000
2008-02-08,13143.080078,13279.519531,12997.879883,13017.240234,13017.240234,170500
2008-02-12,12998.870117,13138.280273,12923.419922,13021.959961,13021.959961,147600
2008-02-13,13162.950195,13240.259766,13036.620117,13068.299805,13068.299805,138800
2008-02-14,13254.589844,13626.450195,13251.860352,13626.450195,13626.450195,147200
2008-02-15,13508.530273,13666.679688,13356.389648,13622.559570,13622.559570,154800
2008-02-18,13627.309570,13822.450195,13627.309570,13635.400391,13635.400391,147100
2008-02-19,13761.759766,13853.209961,13691.879883,13757.910156,13757.910156,147500
2008-02-20,13729.750000,13729.750000,13310.370117,13310.370117,13310.370117,163600
2008-02-21,13462.719727,13783.969727,13439.589844,13688.280273,13688.280273,142900
2008-02-22,13530.190430,13540.620117,13378.719727,13500.459961,13500.459961,144200
2008-02-25,13612.309570,13969.179688,13612.309570,13914.570313,13914.570313,152000
2008-02-26,14036.889648,14053.849609,13803.459961,13824.719727,13824.719727,133800
2008-02-27,14007.320313,14105.469727,13956.440430,14031.299805,14031.299805,127300
2008-02-28,13877.879883,13962.299805,13794.709961,13925.509766,13925.509766,118400
2008-02-29,13735.440430,13738.559570,13533.250000,13603.019531,13603.019531,126600
2008-03-03,13412.870117,13413.629883,12992.179688,12992.179688,12992.179688,142400
2008-03-04,13080.290039,13110.389648,12883.070313,12992.280273,12992.280273,138600
2008-03-05,12973.030273,13044.009766,12919.809570,12972.059570,12972.059570,128900
2008-03-06,13068.889648,13365.219727,13050.549805,13215.419922,13215.419922,134300
2008-03-07,13024.610352,13024.610352,12744.519531,12782.799805,12782.799805,144100
2008-03-10,12716.839844,12777.070313,12527.070313,12532.129883,12532.129883,151200
2008-03-11,12392.309570,12674.889648,12352.790039,12658.280273,12658.280273,162200
2008-03-12,12841.879883,13071.219727,12799.419922,12861.129883,12861.129883,141100
2008-03-13,12741.259766,12772.370117,12351.719727,12433.440430,12433.440430,143400
2008-03-14,12509.809570,12582.570313,12167.089844,12241.599609,12241.599609,231900
2008-03-17,12089.030273,12132.690430,11691.000000,11787.509766,11787.509766,172500
2008-03-18,11828.990234,11995.059570,11793.599609,11964.160156,11964.160156,157800
2008-03-19,12142.330078,12374.750000,12142.330078,12260.440430,12260.440430,143900
2008-03-21,12331.639648,12496.410156,12308.030273,12482.570313,12482.570313,122100
2008-03-24,12473.059570,12582.459961,12438.200195,12480.089844,12480.089844,108400
2008-03-25,12639.740234,12791.240234,12572.769531,12745.219727,12745.219727,130200
2008-03-26,12648.969727,12711.780273,12591.009766,12706.629883,12706.629883,107400
2008-03-27,12618.419922,12621.559570,12475.879883,12604.580078,12604.580078,114300
2008-03-28,12594.339844,12874.450195,12507.679688,12820.469727,12820.469727,122600
2008-03-31,12709.280273,12709.280273,12430.629883,12525.540039,12525.540039,124100
2008-04-01,12539.799805,12779.139648,12521.839844,12656.419922,12656.419922,114500
2008-04-02,12836.410156,13189.360352,12836.410156,13189.360352,13189.360352,145000
2008-04-03,13190.160156,13389.900391,13137.099609,13389.900391,13389.900391,142600
2008-04-04,13286.349609,13360.809570,13220.000000,13293.219727,13293.219727,122000
2008-04-07,13240.559570,13485.900391,13228.860352,13450.230469,13450.230469,125200
2008-04-08,13373.959961,13402.910156,13225.759766,13250.429688,13250.429688,110600
2008-04-09,13295.160156,13348.379883,12998.540039,13111.889648,13111.889648,117300
2008-04-10,13029.809570,13062.459961,12898.490234,12945.299805,12945.299805,128000
2008-04-11,13061.769531,13329.400391,13040.349609,13323.730469,13323.730469,147600
2008-04-14,13132.669922,13132.669922,12858.629883,12917.509766,12917.509766,101000
2008-04-15,12952.650391,13052.820313,12875.919922,12990.580078,12990.580078,112400
2008-04-16,13130.660156,13222.429688,13112.070313,13146.129883,13146.129883,121100
2008-04-17,13315.830078,13495.940430,13313.059570,13398.299805,13398.299805,127100
2008-04-18,13426.259766,13485.040039,13323.740234,13476.450195,13476.450195,102400
2008-04-21,13639.849609,13739.440430,13639.769531,13696.549805,13696.549805,124500
2008-04-22,13587.509766,13608.169922,13519.120117,13547.820313,13547.820313,100800
2008-04-23,13455.559570,13717.049805,13449.040039,13579.160156,13579.160156,112200
2008-04-24,13613.830078,13654.780273,13497.160156,13540.870117,13540.870117,108700
2008-04-25,13614.530273,13886.370117,13614.530273,13863.469727,13863.469727,127100
2008-04-28,13907.969727,14003.280273,13745.610352,13894.370117,13894.370117,139400
2008-04-30,13802.940430,13976.099609,13766.240234,13849.990234,13849.990234,143200
2008-05-01,13802.589844,13884.629883,13727.070313,13766.860352,13766.860352,110700
2008-05-02,13944.259766,14072.919922,13944.259766,14049.259766,14049.259766,114100
2008-05-07,14147.570313,14208.669922,14022.790039,14102.480469,14102.480469,139800
2008-05-08,14008.190430,14036.309570,13930.280273,13943.259766,13943.259766,120300
2008-05-09,13941.299805,13946.509766,13639.990234,13655.339844,13655.339844,130400
2008-05-12,13565.910156,13793.410156,13540.679688,13743.360352,13743.360352,103000
2008-05-13,13814.389648,13976.919922,13734.500000,13953.730469,13953.730469,129200
2008-05-14,13961.959961,14121.940430,13877.400391,14118.549805,14118.549805,142500
2008-05-15,14167.019531,14352.839844,14167.019531,14251.740234,14251.740234,160100
2008-05-16,14363.620117,14392.530273,14194.910156,14219.480469,14219.480469,144100
2008-05-19,14294.519531,14343.190430,14219.080078,14269.610352,14269.610352,133800
2008-05-20,14220.120117,14286.669922,14121.919922,14160.089844,14160.089844,159800
2008-05-21,14002.519531,14041.240234,13847.179688,13926.299805,13926.299805,160200
2008-05-22,13772.650391,13984.809570,13658.019531,13978.459961,13978.459961,159300
2008-05-23,13945.099609,14157.240234,13925.379883,14012.200195,14012.200195,146500
2008-05-26,13875.980469,13883.509766,13670.919922,13690.190430,13690.190430,117800
2008-05-27,13750.820313,13931.230469,13750.820313,13893.309570,13893.309570,100200
2008-05-28,13937.139648,13979.389648,13665.570313,13709.440430,13709.440430,132500
2008-05-29,13832.650391,14147.889648,13832.650391,14124.469727,14124.469727,128700
2008-05-30,14195.660156,14366.629883,14192.169922,14338.540039,14338.540039,166700
2008-06-02,14342.959961,14461.030273,14189.969727,14440.139648,14440.139648,154800
2008-06-03,14275.610352,14289.469727,14127.750000,14209.169922,14209.169922,152600
